	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_062817	212.0	1094.0	4.0	45.0		0.16358506235871945	0.41922722066446005	
NP_064504	231.0	1164.0	7.0	58.0		0.30090749007805584	0.5928326670194533	
NP_065750	122.0	620.0	4.0	38.0		0.2856714111656818	0.5928326670194533	
NP_065805	248.0	1277.0	7.0	48.0		0.5787964277053671	0.8521734070485201	
NP_065875	237.0	1313.0	1.0	66.0		0.0005628639865412528	0.009940792381030494	
NP_065910	345.0	1745.0	4.0	56.0		0.04857027984470365	0.196063187399161	
NP_065939	401.0	2000.0	10.0	94.0		0.058144517869177015	0.21928789596375334	
NP_065953	332.0	1713.0	7.0	49.0		0.5810273229876273	0.8521734070485201	
NP_068506	357.0	1774.0	7.0	105.0		0.0022188292244252525	0.022529650586471796	
NP_073585	263.0	1406.0	6.0	47.0		0.4477910337193963	0.7676417720903936	
NP_114128	267.0	1351.0	6.0	37.0		0.8351498343366119	1.0	
NP_115812	503.0	2558.0	13.0	79.0		0.668045585779034	0.9282317612929735	
NP_149131	236.0	1236.0	3.0	55.0		0.025186167267343684	0.1187347885460488	
NP_476510	152.0	846.0	0.0	26.0		0.023506457943778557	0.1187347885460488	
NP_597677	253.0	1344.0	3.0	39.0		0.1922770955823338	0.44527327398014144	
NP_612453	103.0	542.0	1.0	29.0		0.06881992291184959	0.23905867958853014	
NP_620137	170.0	895.0	4.0	31.0		0.638595452131961	0.9063935449614929	
NP_663719	176.0	938.0	5.0	43.0		0.4166327826717275	0.7468892828873059	
NP_683692	283.0	1421.0	5.0	39.0		0.5350700651975073	0.8408243881675115	
NP_689449	162.0	897.0	7.0	39.0		1.0	1.0	
NP_689969	172.0	837.0	4.0	38.0		0.28958633187163946	0.5928326670194533	
NP_733751	222.0	1161.0	4.0	41.0		0.29636812415900615	0.5928326670194533	
NP_733821	463.0	2380.0	8.0	94.0		0.019184798635198605	0.1187347885460488	
NP_775114	165.0	800.0	6.0	43.0		0.4402005263665132	0.7676417720903936	
NP_859066	131.0	689.0	1.0	38.0		0.020708205026888277	0.1187347885460488	
NP_892017	215.0	1072.0	4.0	36.0		0.3849249864538135	0.7070471367399286	
NP_982261	151.0	819.0	6.0	33.0		1.0	1.0	
NP_996744	274.0	1353.0	4.0	55.0		0.047342959465779016	0.196063187399161	
NP_997006	193.0	1053.0	5.0	55.0		0.14396570358138883	0.3935323140701004	
XP_003846661	219.0	1124.0	3.0	39.0		0.1350669496642274	0.38790292072896204	
NP_000043	94.0	521.0	10.0	30.0	0.11684886739963882			0.18475341179772398
NP_000215	193.0	1148.0	28.0	33.0	1.1281658513588635e-08			3.7316255083408565e-07
NP_000393	25.0	117.0	5.0	3.0	0.008466672537647995			0.032505974921327126
NP_001002814	198.0	1086.0	15.0	48.0	0.07846886671538947			0.13772086811272438
NP_001002909	159.0	813.0	7.0	17.0	0.10048408784991075			0.163667264300991
NP_001003698	188.0	986.0	10.0	15.0	0.00401968064151341			0.019420928942143444
NP_001005743	104.0	589.0	6.0	12.0	0.045619669212606115			0.09676459999480422
NP_001008711	20.0	139.0	4.0	2.0	0.004342139535914814			0.020745777782704113
NP_001011713	64.0	341.0	6.0	6.0	0.007303431522220207			0.029909290995758946
NP_001012241	41.0	228.0	6.0	5.0	0.003938478051216247			0.019244835932079388
NP_001013649	178.0	1031.0	12.0	35.0	0.058600706815942406			0.11401947480024995
NP_001015055	96.0	526.0	9.0	30.0	0.2550042105699728			0.33947928961327645
NP_001017963	68.0	427.0	8.0	16.0	0.015006088920729608			0.047751383817957946
NP_001018077	116.0	625.0	4.0	15.0	0.5224097503688513			0.5974366826026757
NP_001018494	86.0	494.0	4.0	19.0	0.7639622742577779			0.8012287266605963
NP_001020262	100.0	522.0	8.0	22.0	0.13324926049962144			0.20390456233038157
NP_001025053	191.0	1036.0	8.0	33.0	0.511181411591535			0.5877219438084493
NP_001025226	88.0	482.0	6.0	15.0	0.12435836368310373			0.19296095239634517
NP_001028733	105.0	504.0	5.0	18.0	0.5754962668396856			0.6394402964885395
NP_001034558	176.0	926.0	10.0	23.0	0.051113725722353065			0.1042309405477742
NP_001034797	38.0	220.0	5.0	4.0	0.006657651191039679			0.028627900121470623
NP_001034966	50.0	260.0	4.0	9.0	0.2435167641226274			0.3292836747570119
NP_001035879	33.0	148.0	5.0	6.0	0.04337233913706984			0.0941924536815153
NP_001035932	154.0	777.0	7.0	34.0	0.8330307686383335			0.8528648345582939
