	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_055610	428.0	47.0	15.0	5.0		0.048041023424169715		0.14354092020257847
NP_055621	283.0	27.0	5.0	3.0		0.0307656632496073		0.12101160878178871
NP_055625	946.0	85.0	40.0	6.0		0.2713419430795487		0.3883627271569821
NP_055627	2442.0	240.0	109.0	12.0		0.7442190751552529		0.7840879541814271
NP_055642	516.0	48.0	22.0	4.0		0.2741656193982575		0.3903001176956427
NP_055644	156.0	13.0	5.0	3.0		0.025862020342443597		0.1103946404693817
NP_055662	1312.0	132.0	57.0	7.0		0.6562992524204248		0.7215215383752496
NP_055681	2870.0	272.0	80.0	10.0		0.44525706364970985		0.5524100485934484
NP_055726	836.0	84.0	49.0	5.0		1.0		1.0
NP_055760	756.0	79.0	16.0	4.0		0.12026223159994778		0.23306293788165067
NP_055771	375.0	32.0	20.0	4.0		0.12990566079472868		0.24416970960529488
NP_055792	2375.0	214.0	162.0	16.0		0.6752844642935822		0.7393320629688499
NP_055820	2145.0	199.0	58.0	13.0		0.008780161962682186		0.07567290687516026
NP_055828	512.0	44.0	14.0	3.0		0.15601692251203866		0.2728429652826193
NP_055845	728.0	80.0	28.0	7.0		0.07971665439716395		0.17998739574697703
NP_055847	1020.0	87.0	66.0	7.0		0.5099528255655258		0.5938266455598558
NP_055855	391.0	47.0	25.0	5.0		0.36089550847798957		0.48515320253623406
NP_055860	469.0	44.0	23.0	4.0		0.28708262419875646		0.4022186634552498
NP_055863	543.0	57.0	21.0	5.0		0.16661431996228193		0.2816152197143588
NP_055864	312.0	36.0	7.0	4.0		0.024579171378200315		0.1103946404693817
NP_055869	693.0	62.0	33.0	6.0		0.13515941149738506		0.2500684582059633
NP_055885	1997.0	199.0	170.0	17.0		1.0		1.0
NP_055915	694.0	69.0	41.0	6.0		0.4314411112747774		0.5428796921490683
NP_055927	1509.0	129.0	59.0	10.0		0.06718001224884632		0.16724588043131222
NP_055938	326.0	27.0	10.0	4.0		0.02296958171221182		0.1069068286015289
NP_055944	235.0	21.0	5.0	3.0		0.027410442636177767		0.11196111569084918
NP_055950	310.0	26.0	12.0	7.0		0.0007154178698870141		0.021104827161666916
NP_055962	494.0	44.0	17.0	6.0		0.011517791175673149		0.07825153839761977
NP_055972	2050.0	217.0	47.0	6.0		0.6358979792534638		0.7049307452684537
