	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
NP_036252	194.0	644.0	6.0	27.0		0.6733000591499703	0.7822162451889361	
NP_036387	171.0	580.0	5.0	28.0		0.39583464510761057	0.5790914252500229	
NP_036556	287.0	962.0	7.0	35.0		0.4539914906550393	0.6292162765218966	
NP_036565	541.0	1852.0	9.0	53.0		0.16413840379002237	0.29470304316844925	
NP_037450	361.0	1276.0	3.0	48.0		0.0030702978342338474	0.014267854641439644	
NP_054831	375.0	1338.0	7.0	52.0		0.07565896464139543	0.1494690087089061	
NP_054878	313.0	1117.0	2.0	32.0		0.02009273464569266	0.06349304148038881	
NP_055535	272.0	934.0	2.0	26.0		0.06337795396740095	0.135320496308775	
NP_055601	425.0	1469.0	10.0	39.0		0.8627701270069277	0.9210654058587471	
NP_055681	698.0	2415.0	6.0	113.0		6.184713533383422e-07	1.2214809228432258e-05	
NP_055792	606.0	2091.0	11.0	59.0		0.24337343239405268	0.40055210748187836	
NP_055885	500.0	1834.0	9.0	40.0		0.7257372796273587	0.8309165955153817	
NP_055912	285.0	1012.0	6.0	46.0		0.08483217164555162	0.1634571112194775	
NP_055927	371.0	1290.0	5.0	41.0		0.07103900650085951	0.14768635562020793	
NP_055940	389.0	1329.0	3.0	35.0		0.029495898378293313	0.07669218998296722	
NP_055972	514.0	1737.0	15.0	54.0		1.0	1.0	
NP_056018	368.0	1304.0	8.0	49.0		0.19082711474301525	0.3350076014377379	
NP_056073	335.0	1112.0	7.0	28.0		0.8393690781545501	0.9088096336133755	
NP_056130	397.0	1390.0	5.0	39.0		0.09745611730767309	0.18331031588824223	
NP_056182	123.0	403.0	2.0	29.0		0.026157934833192426	0.07532911757108088	
NP_056390	242.0	832.0	7.0	28.0		0.8388597539786429	0.9088096336133755	
NP_057591	367.0	1184.0	1.0	87.0		3.912054589679394e-09	1.5452615629233606e-07	
NP_059990	174.0	578.0	1.0	22.0		0.03933487590019134	0.09416530897318534	
NP_060537	486.0	1715.0	11.0	47.0		0.6337082151217323	0.7778854264409399	
NP_060644	374.0	1247.0	5.0	42.0		0.05079963737556766	0.1180344515491131	
NP_061322	323.0	1070.0	6.0	37.0		0.19713439827910056	0.3385569013923684	
NP_064578	167.0	535.0	0.0	41.0		2.81782514838949e-05	0.00032239113024005333	
NP_065176	502.0	1729.0	11.0	59.0		0.24211711330844005	0.40055210748187836	
NP_065750	168.0	577.0	6.0	33.0		0.428013936752795	0.6038053750619786	
NP_113584	599.0	2086.0	14.0	50.0		1.0	1.0	
NP_597677	351.0	1251.0	8.0	29.0		1.0	1.0	
NP_620137	260.0	814.0	2.0	24.0		0.0603233311067816	0.13237619881765963	
NP_620305	375.0	1283.0	8.0	36.0		0.5854305891638041	0.7459518797409762	
NP_683692	371.0	1340.0	8.0	29.0		1.0	1.0	
NP_872363	420.0	1375.0	10.0	48.0		0.3431682307604802	0.5115149100014704	
NP_940890	516.0	1669.0	9.0	91.0		0.0003569180155780817	0.002563320293697132	
NP_982261	225.0	752.0	6.0	26.0		0.6732753028774249	0.7822162451889361	
XP_003846661	313.0	1038.0	7.0	27.0		0.8387618015353104	0.9088096336133755	
NP_000170	158.0	553.0	9.0	4.0	0.0004604598509546067			0.0011532618285376847
NP_000204	146.0	446.0	24.0	1.0	2.0022436239629076e-13			3.644083395612492e-12
NP_000290	132.0	504.0	27.0	18.0	4.7516519693481984e-08			3.603336076755717e-07
NP_000338	76.0	241.0	12.0	14.0	0.018667331283465			0.02831211911325525
NP_000413	95.0	321.0	15.0	6.0	6.309838116406802e-06			2.9196369589475543e-05
NP_000415	279.0	1094.0	71.0	26.0	1.360379593660314e-26			1.2379454302308858e-24
NP_001002926	75.0	280.0	10.0	6.0	0.000591552181654517			0.0014166118034358171
NP_001003408	323.0	1112.0	25.0	22.0	9.797148131617617e-06			4.114802215279399e-05
NP_001010924	46.0	140.0	12.0	0.0	1.6529940853666674e-07			1.1281684632627506e-06
NP_001015055	126.0	501.0	20.0	14.0	1.9591426720212857e-06			1.069691898923622e-05
NP_001017915	160.0	615.0	15.0	18.0	0.0018424908091427532			0.0035673758219572456
NP_001018077	166.0	581.0	9.0	4.0	0.000456803908011381			0.0011532618285376847
