	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_006687	82.0	452.0	9.0	25.0	0.09345652635874394			0.14295266575431564
NP_006704	77.0	457.0	8.0	5.0	0.00016640109515996682			0.001897404695460401
NP_006717	280.0	1595.0	15.0	37.0	0.01023918523914235			0.0316549459153767
NP_006757	65.0	384.0	7.0	21.0	0.16757085785129655			0.21796624176805687
NP_006847	133.0	674.0	7.0	22.0	0.30792383787222205			0.3524864793374328
NP_008855	56.0	328.0	7.0	17.0	0.07509472751524104			0.12232499213057818
NP_008909	65.0	337.0	6.0	15.0	0.14013658882859076			0.1919499609851836
NP_008921	56.0	310.0	4.0	9.0	0.13371598776452825			0.18567959386849525
NP_008938	17.0	107.0	4.0	9.0	0.11499688304619282			0.16633816032052273
NP_008987	61.0	328.0	8.0	17.0	0.04863635537114758			0.09009012661575437
NP_009045	214.0	1184.0	13.0	35.0	0.04072411687122527			0.0791056960463181
NP_009057	100.0	554.0	4.0	21.0	1.0			1.0
