	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_002151	138.0	329.0	9.0	19.0	0.8318115207226189			0.901600695930639
NP_002212	275.0	630.0	19.0	17.0	0.009076900871928972			0.06779310338721951
NP_002310	168.0	372.0	8.0	10.0	0.3011568883643971			0.4798433087939394
NP_002347	364.0	801.0	21.0	32.0	0.2267015389684816			0.4166156697807197
NP_002364	1016.0	2250.0	28.0	52.0	0.46491829235913734			0.6105245707353507
NP_002366	903.0	2042.0	51.0	106.0	0.6573387050304769			0.7719049309469601
NP_002408	560.0	1400.0	25.0	20.0	0.00019341442692781053			0.009059640176156203
NP_002410	186.0	428.0	10.0	12.0	0.1579417020021205			0.3394858243724743
NP_002435	149.0	351.0	8.0	12.0	0.3290510027743609			0.4993218391306175
NP_002473	275.0	630.0	15.0	26.0	0.3915177048338081			0.5472089558788312
NP_002516	69.0	161.0	11.0	8.0	0.019473510200975368			0.10228942720951896
NP_002523	95.0	241.0	11.0	12.0	0.05853625191249399			0.20482363465086145
NP_002678	270.0	613.0	10.0	18.0	0.5394546388456072			0.6750243910162309
NP_002799	64.0	160.0	9.0	9.0	0.06562489189650779			0.22139354290459565
NP_002964	369.0	832.0	19.0	34.0	0.44899038868810115			0.6008301021588192
NP_003007	213.0	506.0	26.0	32.0	0.018282946654413643			0.09940480528705616
NP_003103	86.0	202.0	10.0	6.0	0.010756770466225026			0.07241882088528961
NP_003119	560.0	1221.0	26.0	40.0	0.1794476553535786			0.3634575392330956
NP_003283	329.0	738.0	18.0	13.0	0.0025926010046804877			0.031775981544545466
NP_003371	792.0	1758.0	24.0	51.0	0.8993864340521169			0.9386609508229518
NP_003381	108.0	264.0	10.0	16.0	0.3738887997750334			0.5378497933238409
NP_003463	168.0	363.0	9.0	19.0	1.0			1.0
NP_003600	352.0	774.0	27.0	41.0	0.17905157474100475			0.3634575392330956
NP_003613	373.0	835.0	21.0	38.0	0.4721329122642017			0.6166107433395858
NP_003617	351.0	758.0	22.0	31.0	0.13487354685212782			0.3144171440113445
NP_003642	167.0	384.0	21.0	13.0	0.00043733599861814885			0.011613700407748619
NP_003734	122.0	271.0	8.0	13.0	0.4793586847816822			0.6226452481675111
NP_003886	179.0	397.0	13.0	17.0	0.16377137913518333			0.34638371339211343
NP_003904	507.0	1118.0	33.0	58.0	0.3532705194284289			0.5211830502678674
NP_003913	199.0	401.0	11.0	18.0	0.687199377619904			0.7857471922096698
NP_003933	219.0	497.0	9.0	17.0	0.6683101470645857			0.7753695395555145
NP_003971	414.0	970.0	20.0	19.0	0.00724751055765218			0.056791967976356425
NP_003972	98.0	224.0	7.0	6.0	0.12226710838531689			0.29688910279958586
