	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_001167587	490.0	255.0	22.0	6.0	0.22129810989885468		0.6727352248098312	
NP_001186308	643.0	346.0	43.0	16.0	0.25991298253910927		0.6906332560397999	
NP_001188267	831.0	424.0	42.0	20.0	0.8908772181205471		1.0	
NP_001193723	466.0	251.0	28.0	12.0	0.610141347293089		0.9122501697391817	
NP_001231931	759.0	443.0	37.0	9.0	0.018308397737529646		0.28194932515795657	
NP_001234918	345.0	193.0	26.0	6.0	0.05602807493554672		0.41087254952734265	
NP_001240628	925.0	479.0	35.0	17.0	0.8826335898367512		1.0	
NP_001240841	536.0	277.0	34.0	6.0	0.01487495164669952		0.2545269503990807	
NP_001254489	839.0	479.0	51.0	5.0	5.795302681345941e-06		0.00044623830646363746	
NP_001263206	510.0	264.0	32.0	13.0	0.5205246891894164		0.8527744907996823	
NP_001420	428.0	229.0	26.0	11.0	0.5969230815460922		0.9122501697391817	
NP_001611	9372.0	4870.0	247.0	69.0	2.47568920243879e-06		0.00038125613717557364	
NP_001640	934.0	478.0	68.0	29.0	0.5050276771203805		0.8527744907996823	
NP_001894	735.0	401.0	32.0	12.0	0.33453529746025756		0.7263971537229199	
NP_002264	1225.0	631.0	37.0	10.0	0.08467818827515342		0.4633555283472097	
NP_002267	894.0	469.0	25.0	8.0	0.2675597237354507		0.6906332560397999	
NP_002473	573.0	332.0	28.0	13.0	0.6196063668426594		0.9147029734982114	
NP_002511	616.0	321.0	24.0	11.0	0.8565007624707066		1.0	
NP_002964	787.0	414.0	36.0	17.0	0.7695146422951775		1.0	
NP_003015	615.0	343.0	27.0	11.0	0.4899462061594178		0.8477720870623634	
NP_003283	699.0	368.0	23.0	8.0	0.34513593602875486		0.7280949883346336	
NP_003602	528.0	274.0	23.0	10.0	0.7113830030929926		0.9959362043301897	
NP_004392	189.0	95.0	16.0	7.0	1.0		1.0	
NP_004482	902.0	473.0	27.0	4.0	0.011812177189692092		0.2545269503990807	
