	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_065905	726.0	69.0	29.0	3.0		0.7530544846972093		0.8090149596757897
NP_065907	263.0	33.0	11.0	3.0		0.2135882889271967		0.35972764450896283
NP_066300	378.0	41.0	9.0	3.0		0.11354585203173789		0.2602797628813063
NP_073606	765.0	76.0	15.0	3.0		0.2250852354666486		0.3708309554088386
NP_073733	625.0	69.0	25.0	3.0		0.7527931290155618		0.8090149596757897
NP_075463	839.0	79.0	28.0	9.0		0.004546225427649996		0.034436253645939406
NP_078960	144.0	10.0	11.0	6.0		0.0017126023508745273		0.015223132007773576
NP_079216	525.0	55.0	21.0	7.0		0.017179936764229336		0.07233657584938669
NP_079461	1112.0	114.0	56.0	9.0		0.2734894507233155		0.42215864271991055
NP_112420	615.0	59.0	24.0	5.0		0.1734345229900997		0.32266887998158084
NP_112604	505.0	47.0	19.0	3.0		0.42792218882799565		0.5409635722160382
NP_113584	2435.0	234.0	71.0	9.0		0.4226201980057348		0.5409635722160382
NP_115820	567.0	39.0	32.0	4.0		0.2916208682831538		0.44018244269155293
NP_149074	290.0	28.0	12.0	3.0		0.15408286724333597		0.30436121924609577
NP_149131	1334.0	138.0	51.0	7.0		0.49014702852129466		0.5919293050672406
NP_536739	876.0	74.0	64.0	13.0		0.01021617547653668		0.052116802439001235
NP_542416	759.0	64.0	43.0	10.0		0.009896448338491714		0.052116802439001235
NP_542775	636.0	59.0	48.0	7.0		0.31747937405935783		0.47063746964534103
NP_563615	56.0	4.0	2.0	3.0		0.007252640713772374		0.04020433251520587
NP_612144	571.0	56.0	26.0	3.0		0.7385048173706974		0.8090149596757897
NP_620137	967.0	98.0	30.0	5.0		0.3675183224061951		0.5137273047412626
