	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_056197	395.0	402.0	14.0	20.0		0.3836209656388003	0.47229716875128686	
NP_056261	501.0	550.0	11.0	18.0		0.34861779910281004	0.4357722488785125	
NP_056262	506.0	535.0	13.0	26.0		0.07232261477124939	0.13028706337467721	
NP_056272	634.0	618.0	20.0	44.0		0.0029591383810360023	0.011153675436212623	
NP_056345	379.0	391.0	19.0	24.0		0.5353303447625353	0.6215921064778254	
NP_056364	710.0	743.0	20.0	24.0		0.7599239113021001	0.8096471457876824	
NP_056393	314.0	329.0	5.0	20.0		0.006780493603232165	0.020177098722135807	
NP_056450	481.0	481.0	14.0	20.0		0.38354018829156145	0.47229716875128686	
NP_057225	336.0	335.0	6.0	16.0		0.04923105707830845	0.09806186166004528	
NP_057332	781.0	830.0	27.0	38.0		0.3116463190876153	0.4083066747404585	
NP_057404	737.0	768.0	16.0	29.0		0.09522251859808468	0.16284847983763728	
NP_057417	5566.0	5732.0	114.0	135.0		0.30526060882890826	0.4074260137145368	
NP_057427	519.0	526.0	1.0	48.0		4.1325638304049997e-13	2.531195346123062e-11	
NP_057591	760.0	777.0	30.0	72.0		8.735892479125822e-05	0.0005945260159405073	
NP_060110	664.0	705.0	27.0	47.0		0.05532676430173318	0.10757981947559231	
NP_060130	300.0	303.0	11.0	23.0		0.05334930408856725	0.10456463601359181	
NP_060224	214.0	218.0	11.0	14.0		0.6825139701907352	0.7498471869808526	
NP_060537	1071.0	1118.0	29.0	41.0		0.22669349767978766	0.3210399244598149	
NP_060621	751.0	786.0	25.0	34.0		0.3547428033641244	0.44117759809243895	
NP_060644	793.0	818.0	23.0	34.0		0.2249842829149613	0.32047179833817163	
NP_060649	490.0	489.0	9.0	21.0		0.0401080423032357	0.08695991472825439	
