	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_443094	181.0	995.0	14.0	42.0	0.0612252676228928			0.10201333260919737
NP_443107	35.0	213.0	7.0	6.0	0.0014153895688875948			0.008357042822181901
NP_443134	68.0	366.0	8.0	13.0	0.013591858073096203			0.03566880183519342
NP_444251	27.0	185.0	8.0	11.0	0.0028130583148536655			0.012537765105089065
NP_444254	180.0	998.0	18.0	26.0	5.803299493210106e-05			0.0008629721283421694
NP_444271	80.0	476.0	15.0	26.0	0.0006635758846138749			0.0049338095865272364
NP_476510	144.0	838.0	8.0	34.0	0.38323048414190986			0.42097685193700907
NP_490597	119.0	622.0	11.0	25.0	0.0361462287953537			0.06910814695873577
NP_536739	168.0	842.0	5.0	12.0	0.18500821466495615			0.23807948137173043
NP_542164	38.0	236.0	4.0	7.0	0.061966346384154006			0.10259582710613539
NP_542194	116.0	657.0	14.0	20.0	0.00031401641217267535			0.0026825019039857264
NP_542416	130.0	723.0	9.0	14.0	0.0055346985124837145			0.019407698277399226
NP_542417	376.0	1968.0	36.0	57.0	2.744902834364901e-07			1.695505366150012e-05
NP_543023	134.0	758.0	6.0	22.0	0.4182104863003651			0.4538148925664772
NP_597677	236.0	1330.0	20.0	53.0	0.0077232876824562344			0.024320784349068064
NP_597709	90.0	447.0	6.0	18.0	0.2751386191346085			0.32159579500013197
NP_597734	389.0	2175.0	16.0	52.0	0.08584978411595726			0.1303076378641702
NP_604391	44.0	236.0	4.0	6.0	0.06483314123862403			0.10496171857785302
NP_612142	119.0	643.0	12.0	23.0	0.00814738261578946			0.025162877847995906
NP_612206	128.0	735.0	7.0	22.0	0.18467751139372288			0.23803537985418857
NP_612401	25.0	175.0	6.0	7.0	0.004847681282288487			0.017920917216407397
NP_612429	399.0	2318.0	18.0	36.0	0.0006900238379210055			0.005083386622482269
NP_612480	70.0	412.0	9.0	20.0	0.029680782057900396			0.05943554400521331
NP_619646	64.0	399.0	10.0	16.0	0.0024231856706789746			0.011379509967690701
NP_620137	162.0	889.0	12.0	37.0	0.10657811919300766			0.1556040540217912
NP_620147	143.0	697.0	14.0	32.0	0.02803775539843608			0.057288339910799416
NP_653205	139.0	723.0	19.0	37.0	0.001564851743666796			0.008956337539403088
NP_653265	37.0	214.0	5.0	15.0	0.21029788903673113			0.26255066934634985
NP_653319	85.0	483.0	8.0	25.0	0.21067710918753613			0.26255066934634985
