	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_002366	1337.0	1656.0	39.0	70.0		0.0769742807824583	0.14595123369141444	
NP_003038	361.0	433.0	6.0	36.0		4.262697740412671e-05	0.0005657762455456818	
NP_003473	939.0	1288.0	23.0	33.0		0.8920794375260475	0.9576636805010221	
NP_003600	498.0	660.0	1.0	35.0		9.887479210201526e-08	2.4059532744823713e-06	
NP_003617	479.0	626.0	24.0	33.0		0.8917129062803633	0.9576636805010221	
NP_003619	708.0	989.0	30.0	59.0		0.15135418905304704	0.2599730776675867	
NP_003891	624.0	767.0	23.0	78.0		1.0132637577903024e-05	0.0001849206357967302	
NP_004148	182.0	245.0	16.0	22.0		1.0	1.0	
NP_004482	615.0	757.0	6.0	28.0		0.001397928381866926	0.0075591682871322665	
NP_004694	307.0	380.0	6.0	27.0		0.003391758870924683	0.016962917279808254	
NP_004726	482.0	632.0	26.0	38.0		0.6993286732362527	0.8369015269876466	
NP_004738	698.0	874.0	21.0	44.0		0.056518919892750166	0.11959075803393514	
NP_004765	577.0	808.0	17.0	38.0		0.12531751975415817	0.22588096153218634	
NP_005069	495.0	677.0	1.0	39.0		2.068535621714021e-08	9.684687769032598e-07	
NP_005086	428.0	561.0	4.0	27.0		0.0006347438260097011	0.004412980885591255	
NP_005154	229.0	266.0	15.0	24.0		0.4052969286463224	0.5582391658713497	
NP_005222	600.0	747.0	12.0	41.0		0.001672195424284559	0.008719304712340914	
NP_005345	161.0	193.0	0.0	19.0		1.691278443145893e-05	0.0002743629474436671	
NP_005535	780.0	1091.0	22.0	56.0		0.018659321348144707	0.06272468330824878	
NP_005704	203.0	259.0	6.0	17.0		0.12971481918846034	0.23095565367701473	
NP_005753	776.0	922.0	19.0	70.0		5.0039607866262e-06	0.00010436832497820361	
NP_005808	344.0	402.0	16.0	20.0		0.8660134006939972	0.9576636805010221	
NP_005958	276.0	360.0	3.0	31.0		2.3517298450394717e-05	0.0003433525573757629	
NP_006006	463.0	622.0	13.0	19.0		0.8581245151782473	0.9563830474505657	
NP_006022	424.0	552.0	18.0	26.0		0.7588722535648325	0.8793281668290915	
NP_006176	970.0	1244.0	42.0	62.0		0.5442582235853889	0.6734042427412439	
NP_006188	1318.0	1639.0	13.0	139.0		1.5544414054556805e-21	2.269484451965294e-19	
NP_006280	897.0	1107.0	31.0	52.0		0.21497445705764476	0.3487363414490682	
NP_006302	1038.0	1359.0	21.0	69.0		0.00012689306095879855	0.0012350924599989726	
NP_006303	1266.0	1656.0	22.0	73.0		7.923178914120236e-05	0.0008898339395858112	
NP_006305	256.0	340.0	9.0	32.0		0.008458496630294519	0.03430390300063888	
NP_006412	315.0	401.0	6.0	26.0		0.005431818840776058	0.023324869139803073	
NP_006600	340.0	437.0	12.0	19.0		0.7124792952359629	0.838886912132666	
NP_006717	803.0	1058.0	24.0	42.0		0.31210596333753154	0.4649741902783633	
NP_006757	191.0	266.0	3.0	17.0		0.01890332921618456	0.06272468330824878	
NP_006847	356.0	446.0	10.0	24.0		0.11128742373014801	0.20309954830752014	
NP_009045	605.0	789.0	16.0	36.0		0.0863053377288437	0.1615458885693741	
NP_009049	459.0	593.0	10.0	32.0		0.010828994880261154	0.040539314167131496	
NP_009217	1211.0	1543.0	48.0	87.0		0.06167872397417467	0.12546642705939837	
NP_036222	610.0	749.0	19.0	30.0		0.465403551138195	0.6177174406016043	
NP_036556	549.0	690.0	15.0	37.0		0.03181069426063191	0.08931464157792807	
NP_054831	733.0	966.0	15.0	58.0		8.949482268807352e-05	0.0009333031508899095	
NP_054878	600.0	822.0	11.0	31.0		0.03968375145922088	0.09820046971264827	
NP_055490	295.0	409.0	6.0	24.0		0.021541988076486968	0.06735094626902512	
NP_055535	522.0	670.0	16.0	26.0		0.5282282713835365	0.6619629192281044	
NP_055617	426.0	575.0	16.0	31.0		0.2910892793745873	0.4473582609335762	
NP_055726	412.0	533.0	9.0	20.0		0.18958808520656992	0.31454386863817285	
NP_055792	1164.0	1516.0	27.0	60.0		0.02723213838957237	0.07795867068387384	
NP_055857	591.0	824.0	18.0	34.0		0.3200997498210037	0.4720662977158236	
NP_055858	294.0	417.0	11.0	23.0		0.37283393537130216	0.5284830540214573	
NP_055863	271.0	330.0	9.0	16.0		0.41703591451676464	0.5690396590602582	
NP_055885	960.0	1358.0	26.0	39.0		0.8986296180043838	0.9576636805010221	
NP_055888	540.0	732.0	16.0	32.0		0.23533678003022435	0.37757329543310714	
NP_055912	541.0	749.0	24.0	35.0		0.8933041317266344	0.9576636805010221	
NP_055915	331.0	457.0	6.0	16.0		0.19322663021443398	0.3169785169809816	
NP_055927	698.0	949.0	17.0	43.0		0.03290044103036939	0.09063140359309303	
NP_055940	741.0	965.0	9.0	41.0		0.0002350881673361	0.0018243985680763213	
NP_055962	228.0	306.0	3.0	24.0		0.0009675051968570028	0.0056451481278871046	
NP_055972	980.0	1255.0	34.0	51.0		0.5057715511922769	0.6586585900422413	
NP_055983	355.0	457.0	5.0	22.0		0.009541675148604758	0.03666012030779723	
NP_056018	714.0	936.0	24.0	55.0		0.026595741051889582	0.07765956387151758	
NP_056025	258.0	340.0	12.0	31.0		0.05559833491898342	0.11959075803393514	
NP_056069	435.0	539.0	11.0	29.0		0.03476545051956087	0.09351207707232727	
NP_056073	639.0	795.0	17.0	31.0		0.23863667337378228	0.3787060251366545	
NP_056077	355.0	438.0	11.0	20.0		0.3594684060771226	0.5157498218283934	
NP_056099	196.0	254.0	4.0	16.0		0.03936079534117839	0.09820046971264827	
NP_056130	767.0	1010.0	20.0	34.0		0.4048185308553941	0.5582391658713497	
NP_056262	454.0	587.0	17.0	22.0		1.0	1.0	
NP_056285	696.0	902.0	16.0	33.0		0.14440912594979313	0.2509968141508309	
NP_056390	470.0	594.0	17.0	28.0		0.44530619372944413	0.5964651769220077	
NP_056392	473.0	620.0	16.0	27.0		0.530477133901974	0.6619629192281044	
NP_056450	423.0	539.0	9.0	25.0		0.05205460647614089	0.1187495710236964	
NP_057417	4738.0	6560.0	99.0	150.0		0.5164704060996248	0.6614445551802213	
NP_057541	367.0	472.0	10.0	30.0		0.021568777582511828	0.06735094626902512	
NP_057688	346.0	426.0	6.0	22.0		0.01861503307303681	0.06272468330824878	
NP_058519	1035.0	1494.0	3.0	49.0		2.4790257137238318e-08	9.684687769032598e-07	
NP_059990	328.0	416.0	8.0	23.0		0.06273321352969918	0.12546642705939837	
NP_060548	324.0	406.0	6.0	20.0		0.042452339160247196	0.10330069195660152	
NP_060644	712.0	899.0	15.0	42.0		0.009247014231341253	0.036488218318265486	
NP_061322	615.0	768.0	16.0	37.0		0.04771810239854677	0.11339878653223806	
NP_064578	310.0	391.0	16.0	26.0		0.5227285904154516	0.6619629192281044	
NP_065176	947.0	1273.0	30.0	51.0		0.360318368674631	0.5157498218283934	
NP_065750	326.0	416.0	12.0	30.0		0.05522874630709687	0.11959075803393514	
NP_065770	646.0	865.0	24.0	35.0		0.7898041050987867	0.8987337422405344	
NP_065827	263.0	343.0	0.0	32.0		2.653339114803451e-08	9.684687769032598e-07	
NP_065883	693.0	917.0	17.0	32.0		0.305004862210184	0.45907948332666876	
NP_065899	1249.0	1591.0	22.0	63.0		0.0008052994241718283	0.005344259814958497	
NP_065910	886.0	1204.0	24.0	36.0		0.7914460413745872	0.8987337422405344	
NP_065939	1011.0	1390.0	40.0	64.0		0.47925482503522554	0.6303712113075939	
NP_066997	390.0	493.0	9.0	28.0		0.01767704990466467	0.06272468330824878	
NP_072174	2230.0	2863.0	107.0	143.0		0.7940866626645817	0.8987337422405344	
NP_073585	736.0	933.0	20.0	33.0		0.40056722819015056	0.5582391658713497	
NP_079031	415.0	578.0	10.0	17.0		0.6954211209607705	0.8369015269876466	
NP_079440	322.0	434.0	6.0	20.0		0.06700495769452951	0.13219897058650415	
NP_079461	534.0	692.0	14.0	51.0		0.00042980862056509134	0.003137602930125167	
NP_115751	220.0	286.0	12.0	18.0		0.8500107195869383	0.9546274235361	
NP_149072	491.0	660.0	7.0	23.0		0.039033901884457864	0.09820046971264827	
NP_387505	251.0	308.0	4.0	17.0		0.023619085559384363	0.07184138524312744	
NP_542775	301.0	394.0	19.0	36.0		0.2571519414440029	0.4037008973206927	
NP_612453	283.0	362.0	12.0	18.0		0.710931561330918	0.838886912132666	
NP_620137	478.0	587.0	6.0	29.0		0.0008770088362580742	0.005567099569290384	
NP_835227	302.0	382.0	6.0	25.0		0.008388917884078894	0.03430390300063888	
NP_851999	298.0	365.0	12.0	30.0		0.05323131863970257	0.11956573109840885	
NP_892017	552.0	735.0	16.0	24.0		0.7484858591861361	0.8742314835294069	
NP_919277	447.0	615.0	21.0	29.0		1.0	1.0	
NP_937872	200.0	256.0	7.0	22.0		0.05129992373166103	0.1187495710236964	
NP_996811	469.0	601.0	12.0	34.0		0.021681469004412195	0.06735094626902512	
NP_997006	543.0	703.0	26.0	34.0		1.0	1.0	
NP_997245	347.0	475.0	5.0	21.0		0.024536674276105848	0.07310927437370314	
XP_003846661	593.0	750.0	15.0	27.0		0.34382379605584057	0.5019827422415273	
NP_000290	255.0	374.0	44.0	8.0	6.745034311148942e-10			1.3238358195242007e-08
NP_000415	577.0	771.0	91.0	31.0	1.6614286387253516e-11			6.701095509525585e-10
NP_001002814	564.0	720.0	28.0	35.0	1.0			1.0
NP_001003408	618.0	804.0	42.0	18.0	5.560768922071582e-05			0.0002539068073851553
NP_001014972	451.0	637.0	22.0	18.0	0.10289549351839417			0.15660823541793326
NP_001015055	252.0	370.0	32.0	7.0	3.781453036586507e-07			3.5196601340535947e-06
NP_001018077	323.0	418.0	15.0	4.0	0.003718804159431583			0.009999451184249369
NP_001018494	248.0	332.0	15.0	8.0	0.05141413301805082			0.08887300135977357
NP_001020262	265.0	357.0	19.0	11.0	0.036545053295996			0.06963703069000812
NP_001025053	527.0	700.0	27.0	14.0	0.005833781181685318			0.0145543819171943
NP_001025055	345.0	474.0	51.0	7.0	2.97608114298827e-12			1.8005290915079033e-10
NP_001026855	208.0	279.0	18.0	4.0	0.00031969791225169435			0.0011722256782562127
NP_001027454	534.0	706.0	34.0	31.0	0.1585695695019318			0.21558334730037917
NP_001030128	655.0	843.0	40.0	38.0	0.1996646054203095			0.261182889252513
NP_001034558	463.0	639.0	21.0	12.0	0.01897891774109277			0.038922865197834326
NP_001041648	511.0	666.0	19.0	21.0	0.6295354744832482			0.6842184530570724
